name	type	time
chameneos 200000	greedy	4.880348
chameneos 200000	pbqp	4.910398
echo 200000	greedy	5.195865
echo 200000	pbqp	5.517370
fannkuch 11	greedy	1.165274
fannkuch 11	pbqp	1.134815
except 2000000	greedy	3.696270
except 2000000	pbqp	3.673059
fibo 44	greedy	4.931044
fibo 44	pbqp	4.763004
harmonic 1500000000	greedy	6.140272
harmonic 1500000000	pbqp	6.162644
hash2 3000	greedy	3.649884
hash2 3000	pbqp	3.726389
heapsort 50000000	greedy	22.851660
heapsort 50000000	pbqp	22.855370
raytracer 500	greedy	9.720224
raytracer 500	pbqp	10.296670
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.757953
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.756387
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.598313
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.723650
ary 300000	greedy	1.356080
ary 300000	pbqp	1.541251
ackermann 12	greedy	4.310206
ackermann 12	pbqp	4.355105
chameneos 200000	greedy	5.048446
chameneos 200000	pbqp	4.936847
echo 200000	greedy	5.247843
echo 200000	pbqp	5.263090
fannkuch 11	greedy	1.155127
fannkuch 11	pbqp	1.104847
except 2000000	greedy	3.640432
except 2000000	pbqp	3.680147
fibo 44	greedy	4.991102
fibo 44	pbqp	4.689428
harmonic 1500000000	greedy	6.124921
harmonic 1500000000	pbqp	6.215250
hash2 3000	greedy	3.656563
hash2 3000	pbqp	3.699294
heapsort 50000000	greedy	24.904872
heapsort 50000000	pbqp	24.200493
raytracer 500	greedy	9.696808
raytracer 500	pbqp	10.472597
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	9.042350
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.962563
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.572200
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.583859
ary 300000	greedy	1.306530
ary 300000	pbqp	1.467876
ackermann 12	greedy	4.164572
ackermann 12	pbqp	4.288853
chameneos 200000	greedy	4.979922
chameneos 200000	pbqp	4.980750
echo 200000	greedy	5.252766
echo 200000	pbqp	5.229155
fannkuch 11	greedy	1.138863
fannkuch 11	pbqp	1.203818
except 2000000	greedy	3.649307
except 2000000	pbqp	3.812138
fibo 44	greedy	5.333616
fibo 44	pbqp	4.782997
harmonic 1500000000	greedy	6.168427
harmonic 1500000000	pbqp	6.150173
hash2 3000	greedy	3.619254
hash2 3000	pbqp	3.777652
heapsort 50000000	greedy	23.899377
heapsort 50000000	pbqp	23.974940
raytracer 500	greedy	9.722113
raytracer 500	pbqp	10.463706
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.948436
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.990758
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.729113
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.906467
