name	type	time
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.839545
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.645337
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.678125
ary 300000	greedy	1.361328
ary 300000	pbqp	1.537005
ackermann 12	greedy	4.246532
ackermann 12	pbqp	4.322597
chameneos 200000	greedy	4.894437
chameneos 200000	pbqp	4.903129
echo 200000	greedy	5.188596
echo 200000	pbqp	5.188023
fannkuch 11	greedy	1.126073
fannkuch 11	pbqp	1.092059
except 2000000	greedy	3.558756
except 2000000	pbqp	3.598003
fibo 44	greedy	4.897759
fibo 44	pbqp	4.569380
harmonic 1500000000	greedy	6.019618
harmonic 1500000000	pbqp	6.028323
hash2 3000	greedy	3.505349
hash2 3000	pbqp	3.654316
heapsort 50000000	greedy	23.576129
heapsort 50000000	pbqp	23.081623
raytracer 500	greedy	9.722900
raytracer 500	pbqp	10.322361
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.762137
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.928463
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.619001
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.660520
ary 300000	greedy	1.323854
ary 300000	pbqp	1.493814
ackermann 12	greedy	4.259275
ackermann 12	pbqp	4.315424
chameneos 200000	greedy	4.883311
chameneos 200000	pbqp	4.983861
echo 200000	greedy	5.284203
echo 200000	pbqp	5.306679
fannkuch 11	greedy	1.132871
fannkuch 11	pbqp	1.184068
except 2000000	greedy	3.661618
except 2000000	pbqp	3.653973
fibo 44	greedy	4.894077
fibo 44	pbqp	4.640153
harmonic 1500000000	greedy	6.097250
harmonic 1500000000	pbqp	6.068800
hash2 3000	greedy	3.546188
hash2 3000	pbqp	3.704984
heapsort 50000000	greedy	22.729468
heapsort 50000000	pbqp	22.610935
raytracer 500	greedy	9.799877
raytracer 500	pbqp	10.141798
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	greedy	8.633724
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	pbqp	8.794688
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	greedy	4.499193
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	pbqp	4.538468
ary 300000	greedy	1.329214
ary 300000	pbqp	1.497101
ackermann 12	greedy	4.190214
ackermann 12	pbqp	4.297551
chameneos 200000	greedy	4.917810
chameneos 200000	pbqp	4.916583
echo 200000	greedy	5.214729
echo 200000	pbqp	5.180736
fannkuch 11	greedy	1.211576
fannkuch 11	pbqp	1.105313
except 2000000	greedy	3.610573
except 2000000	pbqp	3.623194
fibo 44	greedy	4.896378
fibo 44	pbqp	4.610179
harmonic 1500000000	greedy	6.116375
harmonic 1500000000	pbqp	6.110446
hash2 3000	greedy	3.585262
hash2 3000	pbqp	3.666028
heapsort 50000000	greedy	22.279700
heapsort 50000000	pbqp	22.285841
raytracer 500	greedy	9.673667
raytracer 500	pbqp	10.155192
